state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AK,2020-12-02,4223.0,9441.0,6.0,29.0
AK,2020-12-03,4233.0,9290.0,6.0,29.0
AK,2020-12-04,4437.0,9788.0,11.0,26.0
AK,2020-12-05,4530.0,10827.0,23.0,60.0
AK,2020-12-06,4803.0,11150.0,22.0,60.0
AK,2020-12-07,4947.0,10870.0,22.0,60.0
AK,2020-12-08,4937.0,11311.0,25.0,63.0
AK,2020-12-09,4970.0,12123.0,24.0,62.0
AK,2020-12-10,4877.0,12416.0,28.0,233.0
AK,2020-12-11,4746.0,12162.0,25.0,210.0
AK,2020-12-12,4614.0,11784.0,16.0,176.0
AK,2020-12-13,4198.0,11458.0,33.0,244.0
AK,2020-12-14,4077.0,11867.0,33.0,244.0
AK,2020-12-15,4006.0,11593.0,30.0,241.0
AK,2020-12-16,3719.0,10596.0,33.0,243.0
AK,2020-12-17,3740.0,10056.0,31.0,74.0
AK,2020-12-18,3499.0,9395.0,28.0,72.0
AK,2020-12-19,3360.0,8932.0,25.0,70.0
AK,2020-12-20,3172.0,8150.0,8.0,3.0
AK,2020-12-21,2729.0,6631.0,8.0,3.0
AK,2020-12-22,2458.0,5784.0,8.0,3.0
AK,2020-12-23,2616.0,5814.0,15.0,6.0
AK,2020-12-24,2368.0,5357.0,16.0,7.0
AK,2020-12-25,2256.0,5271.0,16.0,8.0
AK,2020-12-26,1768.0,4137.0,16.0,8.0
AK,2020-12-27,1807.0,4293.0,16.0,2.0
AK,2020-12-28,1905.0,4613.0,16.0,2.0
AK,2020-12-29,1874.0,4429.0,16.0,2.0
AK,2020-12-30,1614.0,3824.0,7.0,-2.0
AK,2020-12-31,1639.0,3935.0,6.0,5.0
AK,2021-01-01,1871.0,5629.0,7.0,6.0
AK,2021-01-02,1871.0,5629.0,7.0,6.0
AK,2021-01-03,2307.0,7486.0,15.0,34.0
AK,2021-01-04,2305.0,8405.0,15.0,34.0
AK,2021-01-05,2441.0,9114.0,18.0,47.0
AK,2021-01-06,2456.0,9496.0,17.0,46.0
AK,2021-01-07,2400.0,9899.0,17.0,38.0
AK,2021-01-08,2223.0,8372.0,17.0,53.0
AK,2021-01-09,2630.0,10539.0,17.0,53.0
AK,2021-01-10,2134.0,8344.0,9.0,32.0
AK,2021-01-11,2093.0,7237.0,9.0,32.0
AK,2021-01-12,2049.0,7140.0,6.0,19.0
AK,2021-01-13,1983.0,6810.0,7.0,19.0
AK,2021-01-14,1942.0,6568.0,6.0,19.0
AK,2021-01-15,1949.0,6731.0,5.0,3.0
AK,2021-01-16,1847.0,5787.0,6.0,4.0
AK,2021-01-17,1721.0,5859.0,5.0,3.0
AK,2021-01-18,1748.0,7427.0,5.0,3.0
AK,2021-01-19,1685.0,7367.0,5.0,3.0
AK,2021-01-20,1684.0,7609.0,5.0,4.0
AK,2021-01-21,1559.0,6860.0,27.0,49.0
AK,2021-01-22,1433.0,6640.0,26.0,48.0
AK,2021-01-23,1424.0,7479.0,25.0,47.0
AK,2021-01-24,1487.0,7783.0,30.0,50.0
AK,2021-01-25,1370.0,6560.0,30.0,50.0
AK,2021-01-26,1298.0,5974.0,30.0,50.0
AK,2021-01-27,1258.0,5782.0,30.0,62.0
AK,2021-01-28,1272.0,6034.0,8.0,23.0
AK,2021-01-29,1274.0,6570.0,8.0,23.0
AK,2021-01-30,1161.0,5129.0,8.0,23.0
AK,2021-01-31,1065.0,4779.0,3.0,19.0
AK,2021-02-01,1032.0,4690.0,3.0,19.0
AK,2021-02-02,1047.0,5287.0,3.0,19.0
AK,2021-02-03,1101.0,5920.0,19.0,32.0
AK,2021-02-04,1146.0,6452.0,18.0,27.0
AK,2021-02-05,1118.0,6447.0,17.0,26.0
AL,2020-02-15,0.0,0.0,0.0,0.0
AL,2020-02-16,0.0,0.0,0.0,0.0
AL,2020-02-17,0.0,0.0,0.0,0.0
AL,2020-02-18,0.0,0.0,0.0,0.0
AL,2020-02-19,0.0,0.0,0.0,0.0
AL,2020-02-20,0.0,0.0,0.0,0.0
AL,2020-02-21,0.0,0.0,0.0,0.0
AL,2020-02-22,0.0,0.0,0.0,0.0
AL,2020-02-23,0.0,0.0,0.0,0.0
AL,2020-02-24,0.0,0.0,0.0,0.0
AL,2020-02-25,0.0,0.0,0.0,0.0
AL,2020-02-26,0.0,0.0,0.0,0.0
AL,2020-02-27,0.0,0.0,0.0,0.0
AL,2020-02-28,0.0,0.0,0.0,0.0
AL,2020-02-29,0.0,0.0,0.0,0.0
AL,2020-03-01,0.0,0.0,0.0,0.0
AL,2020-03-02,0.0,0.0,0.0,0.0
AL,2020-03-03,0.0,0.0,0.0,0.0
AL,2020-03-04,0.0,0.0,0.0,0.0
AL,2020-03-05,0.0,0.0,0.0,0.0
AL,2020-03-06,0.0,0.0,0.0,0.0
AL,2020-03-07,0.0,0.0,0.0,0.0
AL,2020-03-08,0.0,0.0,0.0,0.0
AL,2020-03-09,0.0,0.0,0.0,0.0
AL,2020-03-10,0.0,0.0,0.0,0.0
AL,2020-03-11,0.0,0.0,0.0,0.0
AL,2020-03-12,3.0,1.0,0.0,0.0
AL,2020-03-13,4.0,1.0,0.0,0.0
AL,2020-03-14,8.0,3.0,0.0,0.0
AL,2020-03-15,15.0,5.0,0.0,0.0
AL,2020-03-16,28.0,9.0,0.0,0.0
AL,2020-03-17,36.0,12.0,0.0,0.0
AL,2020-03-18,51.0,22.0,0.0,0.0
AL,2020-03-19,58.0,24.0,0.0,0.0
AL,2020-03-20,84.0,36.0,0.0,0.0
AL,2020-03-21,107.0,62.0,0.0,0.0
AL,2020-03-22,134.0,68.0,0.0,0.0
AL,2020-03-23,152.0,83.0,0.0,0.0
AL,2020-03-24,188.0,111.0,0.0,0.0
AL,2020-03-25,247.0,166.0,0.0,0.0
AL,2020-03-26,411.0,358.0,1.0,2.0
AL,2020-03-27,486.0,472.0,1.0,2.0
AL,2020-03-28,569.0,589.0,4.0,3.0
AL,2020-03-29,652.0,709.0,4.0,3.0
AL,2020-03-30,700.0,770.0,10.0,13.0
AL,2020-03-31,777.0,887.0,10.0,13.0
AL,2020-04-01,765.0,883.0,15.0,19.0
AL,2020-04-02,703.0,868.0,26.0,34.0
AL,2020-04-03,797.0,1121.0,26.0,34.0
AL,2020-04-04,922.0,1289.0,34.0,45.0
AL,2020-04-05,926.0,1377.0,40.0,49.0
AL,2020-04-06,1025.0,1566.0,35.0,39.0
AL,2020-04-07,1078.0,1717.0,39.0,44.0
AL,2020-04-08,1245.0,1967.0,49.0,71.0
AL,2020-04-09,1439.0,2246.0,39.0,54.0
AL,2020-04-10,1583.0,2396.0,43.0,58.0
AL,2020-04-11,1506.0,2325.0,42.0,56.0
AL,2020-04-12,1619.0,2527.0,48.0,65.0
AL,2020-04-13,1762.0,3006.0,48.0,66.0
AL,2020-04-14,1791.0,3061.0,50.0,71.0
AL,2020-04-15,1733.0,3069.0,50.0,70.0
AL,2020-04-16,1693.0,3168.0,52.0,74.0
AL,2020-04-17,1511.0,2967.0,63.0,78.0
