state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
VT,50,Vermont,626299,2020-06-02 15:35:34.457534 UTC,2020-05-22,6,Post,D,2,-0.21541528813127839,F,1,-0.32392002282611765,F,1,-0.912603376717747,B,4
VT,50,Vermont,626299,2020-06-02 15:35:34.457534 UTC,2020-04-29,4,Post,C-,2.7,-0.37892497244610712,D,2,-0.5451975634854036,F,1,-0.96251239250537479,A,5
ME,23,Maine,1338404,2020-06-02 15:35:34.457534 UTC,2020-04-14,3,Post,C-,2.7,-0.34759327905223941,D,2,-0.486973374052537,F,1,-0.97893261163531953,A,5
ID,16,Idaho,1754208,2020-06-02 15:35:34.457534 UTC,2020-04-30,5,Post,C-,2.7,-0.36357405218012512,D,2,-0.305340457274687,F,1,-0.96917610613435135,A,5
ID,16,Idaho,1754208,2020-06-02 15:35:34.457534 UTC,2020-04-26,1,Post,C-,2.7,-0.3674207469412476,D,2,-0.39323232011288611,F,1,-0.96072110824615964,A,5
ID,16,Idaho,1754208,2020-06-02 15:35:34.457534 UTC,2020-03-17,3,Post,D+,2.3,-0.12879334206953352,F,1,-0.20218286376053582,F,1,-0.94095884574226407,A,5
OR,41,Oregon,4190713,2020-06-02 15:35:34.457534 UTC,2020-05-18,2,Post,D+,2.3,-0.25975949620051975,D,2,-0.34650795953840213,F,1,-0.89964752752534027,B,4
OR,41,Oregon,4190713,2020-06-02 15:35:34.457534 UTC,2020-03-07,7,Pre,D-,1.7,-0.024022373460824462,F,1,0.034927789886608517,F,1,-0.75138840789024253,C,3
NV,32,Nevada,3034392,2020-06-02 15:35:34.457534 UTC,2020-05-27,4,Post,D+,2.3,-0.28838953775469561,D,2,-0.42776142367115172,F,1,-0.8792820856673389,B,4
NV,32,Nevada,3034392,2020-06-02 15:35:34.457534 UTC,2020-05-21,5,Post,D+,2.3,-0.32479697823623377,D,2,-0.53264228422218285,F,1,-0.885549380860437,B,4
NV,32,Nevada,3034392,2020-06-02 15:35:34.457534 UTC,2020-05-20,4,Post,D+,2.3,-0.3203352854686618,D,2,-0.47724588203293933,F,1,-0.88588092699830068,B,4
