FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
48397,0.66,4.5,0.84,0.22,0.03,0.13,0.01,0.39,48.25,54.63
48399,0.88,5.18,1.72,0.22,0.02,0.18,0.05,0.46,58.32,66.56
48401,0.82,5.18,1.39,0.26,0.02,0.62,0.05,0.94,55.91,64.23
48403,0.92,4.26,0.95,0.28,0.03,1.23,0.07,1.62,61.99,69.74
48405,0.98,5.1,1.4,0.32,0.02,0.42,0.05,0.81,64.68,72.97
48407,0.86,4.7,1.51,0.26,0.02,0.45,0.07,0.81,65.23,73.13
48409,0.83,5.28,1.04,0.19,0.01,0.27,0.02,0.49,54.35,62.0
48411,0.81,4.65,1.07,0.23,0.02,0.28,0.17,0.71,49.86,57.1
48413,0.79,4.82,1.13,0.16,0.01,0.12,0.05,0.34,51.97,59.04
48415,0.79,6.52,1.17,0.23,0.01,0.11,0.04,0.39,62.92,71.79
48417,0.75,3.98,1.2,0.26,0.02,0.16,0.03,0.46,53.61,60.0
48419,0.96,5.0,1.22,0.28,0.02,0.46,0.04,0.81,63.4,71.38
48421,0.9,4.79,1.1,0.25,0.03,0.15,0.03,0.47,61.81,69.07
48423,0.8,6.25,1.16,0.23,0.02,0.6,0.06,0.9,49.65,58.76
48425,0.79,5.6,1.38,0.24,0.02,0.27,0.11,0.65,62.69,71.11
48427,0.82,5.6,0.73,0.18,0.04,0.11,0.02,0.36,26.66,34.16
